time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.52,0.0168296,0.010164,0.00378919,0.113154,0.197331,-0.00467881,0.0599344,-0.0239234,-0.0202746,-0.0537356,0.0179694,0.00535277,-0.0464947,-0.00456396,-0.0024433,0.0189559,-0.0156936,0.000624353
0.53,0.0161484,0.011724,0.00425714,0.113056,0.196743,-0.00464947,0.060246,-0.0252564,-0.0184036,-0.0560529,0.0193075,0.00582195,-0.0369337,-0.00361434,0.000221342,0.0217109,-0.0146336,0.00104848
0.54,0.0162487,0.013066,0.00494731,0.112936,0.196396,-0.00460801,0.056833,-0.0262721,-0.0168473,-0.058774,0.0201991,0.00642733,-0.0215467,-0.00323015,-0.00242227,0.0219656,-0.0126585,0.00241046
0.55,0.0159156,0.0134073,0.00514068,0.112876,0.195978,-0.00449295,0.0558922,-0.0262151,-0.0158447,-0.0609087,0.0201767,0.00674695,-0.0118842,-0.00289908,-0.00207777,0.0226136,-0.0119457,0.00314739
0.56,0.0148419,0.0136331,0.00504142,0.112875,0.195404,-0.00437119,0.0579355,-0.0262562,-0.0133615,-0.0624411,0.020163,0.00718663,-0.00854451,-0.0022629,0.00269708,0.0249188,-0.0112679,0.00327374
0.57,0.0144356,0.014336,0.00519701,0.112751,0.194957,-0.00431857,0.0588636,-0.0269564,-0.01086,-0.0642752,0.0206267,0.00740742,-0.00478063,-0.00227278,0.0043965,0.0262636,-0.00987564,0.00349236
0.58,0.0145221,0.014952,0.0058804,0.112505,0.194614,-0.00429444,0.0589086,-0.0275785,-0.00996218,-0.0662238,0.0207973,0.00779243,-0.000838748,-0.00303623,0.0035771,0.0264969,-0.00900058,0.00395936
0.59,0.0140375,0.015421,0.0065998,0.112391,0.194206,-0.00419155,0.0589954,-0.0279833,-0.00912003,-0.0678251,0.0205929,0.00887151,0.00255843,-0.00364671,0.00419929,0.027283,-0.0084495,0.00468344
0.6,0.0132322,0.0157397,0.00683038,0.112492,0.193821,-0.00400867,0.0596694,-0.0280298,-0.00852208,-0.0691896,0.0203754,0.00932618,0.00365604,-0.00415189,0.0051327,0.0278277,-0.00821746,0.00492439
0.61,0.0125948,0.0159461,0.00680991,0.112674,0.193532,-0.0037763,0.0605713,-0.0277185,-0.00876747,-0.0704867,0.0201777,0.00894946,0.00272537,-0.0049104,0.00472907,0.0274543,-0.00836378,0.00468273
0.62,0.0125896,0.0161387,0.00732073,0.112787,0.19332,-0.00353144,0.0605884,-0.0276214,-0.00836465,-0.0721758,0.0195834,0.00945045,0.00134299,-0.00613391,0.00254686,0.027565,-0.00796416,0.00499121
0.63,0.0138526,0.0161634,0.00827536,0.112806,0.193239,-0.00327694,0.0597526,-0.0276193,-0.00735904,-0.0747151,0.0184085,0.0114764,-0.00179575,-0.00848347,-0.00191341,0.028727,-0.0072737,0.00619431
0.64,0.0153807,0.0160677,0.00923051,0.112897,0.193214,-0.0029679,0.0588475,-0.0272284,-0.00745524,-0.0772689,0.0171095,0.0133003,-0.00630997,-0.011563,-0.00623257,0.0298649,-0.00769446,0.00730797
0.65,0.0161172,0.0157692,0.0102165,0.113118,0.193153,-0.00261407,0.0583255,-0.026414,-0.00849307,-0.0789404,0.0156939,0.0140979,-0.0107062,-0.0145726,-0.00884981,0.0301329,-0.00910017,0.00792021
0.66,0.016548,0.0151951,0.0112545,0.113372,0.193118,-0.00228109,0.0580258,-0.0254524,-0.00915139,-0.0800956,0.0139912,0.0148968,-0.015133,-0.0176013,-0.0113622,0.0299511,-0.0103231,0.00863982
0.67,0.0170572,0.0145842,0.0120701,0.113625,0.193146,-0.0019805,0.0577165,-0.0245105,-0.00929466,-0.0811579,0.0124079,0.0159941,-0.0197818,-0.0209341,-0.0143453,0.0295566,-0.0111173,0.00958637
0.68,0.0176867,0.0140227,0.012577,0.113871,0.193246,-0.00164706,0.057401,-0.0235131,-0.00930702,-0.0820686,0.0110282,0.0169753,-0.0248541,-0.0249355,-0.017239,0.0284992,-0.011865,0.0104963
0.69,0.0188784,0.0131788,0.0137473,0.114107,0.193444,-0.00129699,0.05722,-0.0223242,-0.00923292,-0.0825056,0.00900499,0.0172095,-0.0319941,-0.0309927,-0.0192367,0.0270413,-0.0135181,0.0112294
0.7,0.020292,0.0119377,0.0145083,0.114443,0.193678,-0.000946203,0.0571774,-0.0205522,-0.00925331,-0.0823238,0.00685351,0.0174307,-0.0400611,-0.0386964,-0.0194095,0.0256005,-0.016179,0.0123493
0.71,0.0211426,0.0108767,0.0144812,0.114873,0.193791,-0.000640956,0.057308,-0.0187604,-0.00899776,-0.0808064,0.0054004,0.0170782,-0.0473722,-0.0480714,-0.0169342,0.0258454,-0.0195826,0.0147482
0.72,0.021735,0.0102274,0.0152166,0.115239,0.193856,-0.000378306,0.0573759,-0.0176475,-0.00783904,-0.0781158,0.00397543,0.0155163,-0.0544889,-0.0590229,-0.0140243,0.0268514,-0.0227495,0.0179775
