time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.37,0.118246,-0.00089223,0.0166113,0.611825,1.05122,-0.0227691,0.265068,-0.0849336,-0.0961716,-0.0926818,0.0441522,0.0385675,-1.06238,-0.143701,0.00473029,0.0411783,-0.0542679,-0.0545328
0.38,0.115731,0.000468502,0.0161427,0.610183,1.05098,-0.0239843,0.280273,-0.0856645,-0.0913374,-0.104438,0.0465518,0.0377685,-1.02516,-0.137721,0.0115289,0.0483006,-0.0451328,-0.0527798
0.39,0.113908,0.0020873,0.0128011,0.608126,1.05034,-0.0248292,0.294612,-0.087757,-0.0882159,-0.115775,0.0493406,0.0372825,-0.987671,-0.132334,0.0180242,0.054373,-0.0386418,-0.0508014
0.4,0.111242,0.00492354,0.0126389,0.60615,1.04949,-0.0255937,0.307255,-0.0906346,-0.0854134,-0.126453,0.0528871,0.0356259,-0.947857,-0.126047,0.0237471,0.060582,-0.0338403,-0.0492812
0.41,0.108528,0.00784855,0.0102718,0.604461,1.04855,-0.0263042,0.318631,-0.0948398,-0.0854536,-0.137159,0.0570339,0.0349079,-0.905075,-0.119887,0.0284791,0.0658317,-0.0315446,-0.0470376
0.42,0.104933,0.0122673,0.0094406,0.602843,1.04745,-0.026852,0.328634,-0.100507,-0.0868904,-0.148043,0.0624016,0.0330815,-0.855624,-0.112211,0.0322987,0.0721846,-0.0312701,-0.0452049
0.43,0.101401,0.0177567,0.0061464,0.601324,1.04602,-0.0267901,0.33816,-0.106873,-0.090313,-0.159691,0.0687067,0.0317315,-0.802439,-0.104531,0.0350127,0.0781261,-0.0332732,-0.0427332
0.44,0.0973625,0.0244802,0.00733164,0.599941,1.04462,-0.0269619,0.344134,-0.113914,-0.0931779,-0.171023,0.075552,0.0293393,-0.744937,-0.0951708,0.0353044,0.0841571,-0.0364563,-0.0403619
0.45,0.106511,0.0071294,0.0161048,0.599002,1.04571,-0.0266818,0.32042,-0.0932853,-0.108751,-0.208487,0.0524146,0.0223864,-0.659879,-0.0566371,0.00266672,0.0631327,-0.0648038,-0.021328
0.46,0.104737,0.0196111,0.0142026,0.597642,1.04366,-0.026711,0.325103,-0.10463,-0.103301,-0.219925,0.0656726,0.022385,-0.607983,-0.052456,0.0082222,0.0744327,-0.069879,-0.019471
0.47,0.104146,0.0305187,0.0138626,0.595874,1.04243,-0.0266389,0.322477,-0.113341,-0.101122,-0.230619,0.0768495,0.025164,-0.539716,-0.0506592,-0.000862656,0.0740001,-0.0759431,-0.0130122
