time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.65,-7.91438,-2.02823,0.308082,1.29882,-0.344844,0.447847,3.83123,4.23541,-9.41627,8.82359,-1.16585,-10.2624,1.17983,0.700216,17.0191,-8.69744,-9.8495,-5.01412
0.66,-3.05866,-2.7567,0.520488,0.324833,0.244949,-0.2085,2.2231,1.47074,3.7951,5.16291,-2.87044,0.0116386,-0.305468,-0.192227,1.04872,-4.49906,1.82784,1.07366
0.67,0.785489,-0.36752,-2.22359,-0.00458812,0.635998,-0.323862,-0.0957796,-0.196381,5.1505,0.928528,1.193,2.98493,-2.22004,-3.04001,-4.70785,-2.12619,4.28696,2.26934
0.68,1.20245,0.494583,-3.08805,-0.0735925,0.722334,0.328481,-0.062574,0.55491,1.30907,1.51665,2.03618,-1.16064,-4.235,-6.68587,0.895261,-6.63011,0.465974,-0.366327
0.69,5.62198,-2.82413,6.63555,-0.0891969,0.983322,0.166252,1.34499,1.91538,0.864536,4.73705,-6.4348,-7.47013,-20.6771,-20.5587,8.95934,-4.00411,-9.05476,-1.76841
0.7,2.21834,-3.97289,-4.0941,0.98743,0.358383,0.00725328,1.38402,5.83032,-0.944828,6.18675,-1.28278,-0.131015,-9.26986,-16.4646,18.2482,0.17073,-10.0783,3.86856
0.71,-5.62931,1.80215,-7.88169,0.947222,-1.21541,-0.455447,1.73223,0.198702,2.75942,13.3571,6.9836,-5.73623,7.55947,-16.7132,26.4824,16.8571,-7.42668,12.7898
0.72,-2.58188,4.11593,7.62589,-0.643477,-0.479429,-0.425965,-0.626551,-6.78899,9.03171,11.7323,0.281466,-12.0934,1.94271,-15.7655,4.3454,7.61054,2.367,8.30377
0.73,0.445274,2.61393,-4.56022,-0.584843,2.26747,1.13466,-13.3972,-2.72189,3.63585,-8.70346,3.1786,12.907,30.2706,27.4409,-36.242,-55.8038,32.0234,-11.338
0.74,-1.04736,2.51227,-3.58171,-0.593796,0.127417,0.509441,-7.03916,-2.30611,-14.7145,19.1829,1.82765,-15.0249,17.8745,-31.5353,2.22245,-17.6999,10.044,-0.286636
0.75,-3.10575,-2.48509,2.9389,-0.344888,-2.52205,-0.363428,10.4992,2.24775,-12.5388,32.7537,-4.90363,-26.7325,-17.0715,-61.0994,36.4987,45.2272,-20.027,19.9316
0.76,3.46024,-1.73697,-3.52735,1.10348,1.61533,-0.19873,-7.91893,3.06499,13.0703,-24.7999,0.47982,24.0578,9.78626,54.2705,-9.89923,-39.2216,6.48761,-15.7841
0.77,7.07488,5.93449,6.48874,-0.139834,2.58515,-0.711592,-20.8334,-7.35271,6.32589,-17.5396,-0.815933,4.47749,22.7317,36.0543,-12.26,-61.6297,12.2465,-35.0904
0.78,-4.12944,-1.35831,4.06782,-1.87535,-1.76749,0.233028,2.82638,0.568254,-13.4875,31.336,-7.46084,-24.6059,1.97767,-51.2588,16.3586,23.9477,-2.65732,-1.22212
0.79,-7.61916,-9.89351,-8.77013,-1.16579,-2.02446,1.14742,13.958,12.2623,-6.16561,18.4158,-5.40117,2.53452,-4.54056,-18.3911,5.66827,35.293,-0.609638,8.54561
0.8,-1.02839,-3.19614,-4.75637,0.0259454,0.625337,0.133973,1.8819,4.47289,5.67142,-10.8526,0.216284,14.6738,3.35466,33.6005,-7.58728,0.449109,2.53899,-11.2055
0.81,-0.109314,2.02405,3.14283,0.456099,0.907676,-0.878642,-3.86286,-2.95155,3.49492,-8.86675,1.84886,3.66265,7.40989,24.8989,-3.24151,1.73591,0.0297659,-16.2899
0.82,-11.9845,-10.5413,2.04653,0.136121,-0.75187,0.429655,8.11797,10.0231,-10.2993,15.5587,-7.67929,4.36953,10.154,-2.00865,2.21945,20.5791,1.77835,-20.1479
