time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.35,-0.0848171,-0.0822474,0.0590019,-0.0350643,-0.00303036,-0.0151439,0.467152,0.135471,0.0617898,-0.21517,-0.0958645,0.0511142,0.298435,0.220498,0.173607,0.0852035,0.297978,0.0865954
0.36,-0.134136,-0.0609813,0.0313469,-0.0360037,-0.00215941,-0.0114889,0.418029,0.109439,0.0942181,-0.1604,-0.075573,0.0110662,0.489386,0.252318,0.223221,0.0491052,0.399224,0.0935731
0.37,-0.0651542,0.0198808,0.0521844,-0.0352091,0.00106199,-0.0160262,0.308326,0.00954624,0.0658525,-0.174927,0.0236062,-0.0377648,0.599469,0.113832,0.13835,0.0824809,0.232727,0.0328767
0.38,0.01513,0.0674545,0.00333752,-0.0314904,-0.000474749,-0.0205484,0.243628,-0.0683987,0.0417098,-0.231006,0.092029,-0.0232741,0.642958,-0.0092349,0.070083,0.128948,0.0366042,0.000920477
0.39,-0.0323617,0.0296335,-0.0642249,-0.0314567,-0.00805884,-0.0206382,0.279038,-0.0359248,0.0774273,-0.237847,0.0555201,0.0073279,0.725875,0.0936413,0.121746,0.141789,0.120998,0.039026
0.4,-0.0657834,0.0223048,-0.0507143,-0.0391584,-0.0157579,-0.0162703,0.28073,-0.0243364,0.0764079,-0.208919,0.0397429,-0.0135137,0.759987,0.159233,0.143162,0.11862,0.16647,0.0483898
0.41,-0.0532148,0.0566816,-0.014184,-0.0389396,-0.0188349,-0.0122863,0.228838,-0.0664739,0.0266317,-0.194566,0.071711,-0.0334961,0.778934,0.124053,0.102685,0.101609,0.0741006,0.032879
0.42,-0.0516979,0.0791927,-0.0177009,-0.0308644,-0.0193892,-0.0117208,0.190345,-0.104323,-0.0228709,-0.203634,0.0996703,-0.0276028,0.865595,0.111559,0.0691119,0.106595,-0.00350754,0.0329104
0.43,-0.0686613,0.0929746,-0.0435475,-0.0274007,-0.023119,-0.00669401,0.181482,-0.120319,-0.0537361,-0.217304,0.113317,-0.0247622,0.992947,0.145708,0.0593694,0.119254,-0.0249119,0.0429594
0.44,-0.0778008,0.116527,-0.0347474,-0.0279959,-0.0281463,0.00081968,0.157716,-0.128541,-0.0657506,-0.222943,0.126301,-0.035275,1.08165,0.172485,0.0358175,0.11969,-0.0451958,0.0481189
